objekt_id,n_verts,n_faces,bbox_x,bbox_y,bbox_z,vol_bbox,vol_hull,vol_mesh,area,sphericity,fill_ratio,vert_centroid_norm,inertia_smallest,inertia_middle,inertia_largest,inertia_ratio,complexity,is_watertight,load_error
NMK.2011.0004,351834,703700,0.5127095878124237,0.75,0.527264267206192,0.20275008383062976,0.15492703302720368,nan,1.1019403893668944,0.8386796734650707,0.7641280836984721,0.5721697389054031,0.00587098167028819,0.008591887000452943,0.009227469600531016,0.6362504483298792,5.504179704309327,0.0,
NMK.2011.0139,274772,549540,0.6519568860530853,1.0700000524520874,0.6071780323982239,0.4235636929953017,0.24697130048819219,nan,1.736887955959856,0.8630117370608437,0.5830794862083036,0.4871970988620964,0.01102105108418248,0.021504874630838795,0.02154834327246649,0.5114570036697292,5.199200671211436,0.0,
NMK.2011.0140,339327,678644,0.4481470584869385,0.5949999988079071,0.4170738160610199,0.1112116900617882,0.07395881910757106,nan,0.6713662729945353,0.8752812501850521,0.6650273821617153,0.4970666613073625,0.0015073442916640782,0.0028077859716301302,0.002888087267935948,0.5219178479815618,5.703658897431667,0.0,
NMK.2011.0142,281192,562384,0.5879530608654022,0.7400000095367432,0.5417038798332214,0.23568737916806776,0.09070693578386696,nan,0.7674984122427799,0.8303309924235616,0.38486123484441737,0.6691463765688821,0.002759443763805935,0.003497392860224839,0.0037639513280450444,0.7331241887336413,5.563925475003899,0.0,
NMK.2011.0320,495195,990406,0.5038326978683472,0.7700000107288361,0.6114631295204163,0.23721784431412377,0.17672625467444888,0.05337816207893534,1.5554160929868126,0.8514761273122461,0.7449956186282009,0.5112235969961443,0.007302857608224143,0.010869297160243005,0.01123387853926262,0.6500744673979264,5.502929662913624,1.0,
NMK.2012.0160,233168,466344,0.4725673496723175,0.9500000178813934,0.5131585597991943,0.23037688587394362,0.13906692273837942,nan,1.1448553447154621,0.806207078267718,0.6036496335594765,0.4952617722442494,0.004097559828077391,0.009339360474189177,0.00943124471417078,0.4344664943239848,5.30891833158978,0.0,
NMK.2012.0277,298702,597436,0.12874796986579895,0.26500000059604645,0.18505088239908218,0.006313605253351244,0.0044581694546158195,nan,0.12687189911005547,0.8179001114054738,0.7061210316006746,0.5171689629402073,1.4141036298829108e-05,2.7148732883544246e-05,2.961081995292752e-05,0.47756314486762574,6.371872689743696,0.0,
NMK.2013.0359,308678,617380,0.31809379160404205,0.46000000834465027,0.30427034199237823,0.044521793915876066,0.03464133326858577,nan,0.3588169127671479,0.8501646374438736,0.7780758640148366,0.5695111844012847,0.000462370019212264,0.0007401385920919626,0.0007586798137465391,0.6094402550780575,5.934632772444666,0.0,
NMK.2014.0078,201192,402400,0.4383174777030945,1.0099999904632568,0.5204745233058929,0.23041440889115447,0.11991075088844123,0.016826162171231885,1.1970688843884623,0.7757124273519069,0.5204134214761105,0.43401049340132314,0.002834660615757652,0.008983959349411317,0.009008419513318,0.31466791833649677,5.225491565610084,1.0,
NMK.2014.0118,454684,909376,0.6852552890777588,0.75,0.564923495054245,0.29033760968266087,0.1658934484550478,nan,1.30533197738482,0.8437053081634328,0.5713811883908854,0.5087473425265823,0.007542851710541948,0.008212313639576625,0.010508191772297126,0.717806819097769,5.541988694689677,0.0,
NMK.2014.0144,428741,857976,0.624140590429306,0.9399999976158142,0.6669326424598694,0.39128414825455077,0.27586012026018497,nan,2.010013184718617,0.8091267957926815,0.705012256414547,0.507847645446303,0.014976061924321889,0.02336073522922778,0.025358122196235035,0.5905824496162974,5.328996110377008,0.0,
NMK.2014.0145,261843,523660,0.406313955783844,0.800000011920929,0.4754962921142578,0.15456062583072822,0.11097805637720243,nan,0.9571001354301254,0.7890282123672153,0.7180228197234619,0.5280701420138747,0.0030468489277269426,0.005733338011807397,0.006183267239643456,0.49275711523389243,5.437083590465225,0.0,
NMK.2015.0284,248500,497046,0.4981468617916107,0.9999999701976776,0.5107522010803223,0.2544295985387271,0.16394774799589096,nan,1.4866309183888013,0.763734686534015,0.6443737243524214,0.45563723860364824,0.005407979580577484,0.012770851121269631,0.013152731476239266,0.4111677935755879,5.223123232215758,0.0,
NMK.2015.0285,241383,482812,0.48862944543361664,1.0000000298023224,0.5004688501358032,0.244543823986631,0.1584637932372189,nan,1.4542709171412154,0.7616884200202618,0.647997527207565,0.45908300019983345,0.005065953753201171,0.012212966217967714,0.012601102042093273,0.4020246591352596,5.220061361484779,0.0,
NMK.2015.0335,261850,523700,0.455851212143898,0.8199999928474426,0.46828632056713104,0.17504448569911635,0.10692924711473321,0.008806113537703171,0.8991351577216856,0.8214820277679128,0.6108689838909505,0.5519857328017123,0.002533868880573045,0.006255562358469504,0.006283634163913754,0.4032489502849777,5.464227598583539,1.0,
NMK.2016.0133,261782,523592,0.6414050161838531,0.9199999868869781,0.5053136646747589,0.29818185747707404,0.19244495620216084,0.0170534023389505,1.2084668987601574,0.8551387138278239,0.6453945851382227,0.4440956423035006,0.00831057370465785,0.011972774749884974,0.01414136283428871,0.587678415584325,5.335705022266736,1.0,
NMK.2016.0134,231074,462136,0.6224770247936249,0.9500000178813934,0.6486352384090424,0.383572513931907,0.19607300404699932,0.015573968471748962,1.1384953564246678,0.8629247126403181,0.5111758453104562,0.4077274453622237,0.008213096279554478,0.013283525043714429,0.014187886059785411,0.5788809019853871,5.307419818652057,1.0,
NMK.2016.0135.001,215317,430664,0.6417502164840698,0.7449999749660492,0.5813327729701996,0.27793746317324125,0.19560409488241923,nan,0.5999288755181792,0.8108908957215539,0.7037701670339317,0.5645062824968015,0.009730646110704018,0.011536878391649763,0.01360603847920974,0.7151711444571182,5.5549785544690815,0.0,
NMK.2016.0135.002,409572,819148,0.605595737695694,0.42000000178813934,0.8255269825458527,0.20997296212662805,0.15917566722963786,nan,1.3402686625304487,0.8289717945674426,0.758076971518095,0.5434369036263615,0.006225051782708248,0.008956575119456932,0.011660420829672176,0.5338616739172406,5.485138395593825,0.0,
NMK.2016.0135.002_143736,322371,499926,0.5008187294006348,0.41999998688697815,0.7177219986915588,0.15096841545453044,0.1077431597902959,nan,1.1977957632564986,0.8293646711751251,0.7136801394245714,0.6173238247705034,0.00315271099559851,0.0047382610792193495,0.00588009511844449,0.5361666660304847,5.429973193825095,0.0,
NMK.2016.0136,193140,386278,0.5798672437667847,1.0099999904632568,0.628882497549057,0.36831504063426435,0.17951854701695236,nan,1.0069948643434068,0.8442678450509108,0.48740487683535494,0.4450960718438439,0.006581600027997503,0.012711924318833327,0.013188876414069873,0.4990265903906918,5.282844971404424,0.0,
NMK.2016.0137.001,113898,227784,0.38161860406398773,0.699999988079071,0.16592749953269958,0.044324713768402364,0.017649647848131115,0.002616036262864274,0.2869676102504035,0.7286728104198796,0.39818977603219113,0.5254298543701611,0.00011740983554241519,0.00045345864400104114,0.0005176656490295437,0.22680630975325639,5.598683217008722,1.0,
NMK.2016.0137.002,102346,204688,8.703559875488281,1.14000004529953,8.703974723815918,86.3613477180455,30.232977233144254,4.782058030487654,42.2251196273898,0.5728821989693696,0.35007532920687584,0.5014228840684535,31.41101231608726,212.08988483527395,237.06576483820166,0.13249914991953984,3.384499985112746,1.0,
NMK.2016.0137.003,247292,494584,1.683915138244629,0.7400000095367432,2.0985292196273804,2.6149714232250525,1.364678576167812,nan,6.145472662483584,0.7415646884493658,0.5218713153219662,0.5019764838685412,0.170966542142718,0.5244091749824132,0.5723435025117867,0.29871317031190925,4.604654775881922,0.0,
NMK.2016.0137.004,93001,186000,7.921570062637329,1.0199999809265137,6.611443996429443,53.42047617064114,19.00517725506243,nan,31.36253999548861,0.5828316874973202,0.3557657777956556,0.4999766969045983,13.98102127344838,95.71706545392307,106.52806710331406,0.1312426072641417,3.472076390199239,0.0,
NMK.2016.0137.005,92788,185572,1.4924771189689636,0.8499999940395355,4.91387939453125,6.233774633741144,3.5337059543099216,0.8381212517042141,12.722514723249072,0.6527849900320402,0.5668645663228283,0.4987879018926502,0.6170450606675336,4.758516212841921,4.95258664232991,0.12459046256629425,3.8629188516814112,1.0,
NMK.2016.0137.006,96742,193480,5.032250165939331,1.2200000286102295,7.863290309906006,48.27545477166947,21.13230728847711,2.8509171103439073,34.42243846900325,0.6250686820745391,0.43774434416884334,0.5025069981346244,17.47189284067138,85.23875992149911,97.51366256726257,0.17917379350426604,3.4487734292576193,1.0,
NMK.2016.0137,175722,351440,1.0702759623527527,1.9947924613952637,0.8078563213348389,1.7247558135718541,0.6770064871621931,0.10122399063709792,3.7513991942581897,0.7762987232584802,0.39252309331844365,0.5346860869148953,0.051822790249818056,0.15739467248110844,0.1623270020013317,0.3192493523005674,4.670632856796947,1.0,
NMK.2016.0139,388796,777616,1.9928738474845886,1.1885205507278442,1.1066991686820984,2.6212961351843247,1.4153218841762483,0.3888268225524473,8.157215502148148,0.8505677934137272,0.5399320836662072,0.42608314800057046,0.21102992361370443,0.37775658478145785,0.4470135894495543,0.47208838521791574,4.678179852273584,1.0,
NMK.2016.0141,92974,185932,0.39840954542160034,0.9300000071525574,0.35630105435848236,0.13201698023851816,0.058062071938457686,0.004523487412602826,0.4235209196704758,0.7886074501216275,0.4398076053061931,0.4162409510616499,0.0008411658248416128,0.0026801125170125136,0.0027805940608153965,0.30251299054956077,5.341486648893651,1.0,
NMK.2016.0142,66354,132700,0.3642018884420395,1.0350000262260437,0.3685436099767685,0.13892213200239484,0.05328856499958796,0.0038470859992817395,0.3881160632268338,0.7548058382911949,0.38358585656221666,0.4062142597983748,0.0006166969845003273,0.0030184513385748536,0.0030657104201545736,0.20115956825081782,5.23290549088801,1.0,
