id;object_id;uuid;tittel;betegnelse;datering;fra_aar;til_aar;hundreaar;produksjonsstad;produsent;materialar;material_kommentar;teknikk;dekorteknikk;maal;hoegde_cm;breidde_cm;djupn_cm;setehoegde_cm;emneord;klassifikasjon;stilperiode;erverving;beskriving;bilde_url;bilde_tal;digitaltmuseum_url;nasjonalmuseet_url;glb_url;lokal_bilde
136;OK-12172;65cbc083-b902-48b1-9bf1-0e26dd54cfff;Spisestuestol;"Spisestuestol; Flerbruksstol";1949;1949;1949;2000-talet;Norge, Oslo (fylke), Oslo;Ianke, Bjørn;"Eik; Kalv";Eik og kalveskinn;"Tapping; Spikring";;H 82,5 x B 45 x D 43 cm;82.5;45.0;43.0;;Møbel;"352.1 (Sittemøbler); 322.48 (Møbeldesign); 322 (Trearbeid)";;Kjøpt 1950;;https://ms01.nasjonalmuseet.no/iiif/tif/114089.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615055626;https://www.nasjonalmuseet.no/samlingen/objekt/OK-12172;;bilete/OK-12172.jpg
40;OK-1993-0173;2b20ddc1-6d2f-4630-9fc9-b0482aded5ad;Modell 222;"Spisestuestol; Modell 222";1951;1951;1951;2000-talet;Norge, Møre og Romsdal, Ørsta, Ørstavik;Ørsta Bruk A/S;"Teak; Bomull";Skåret og lakkert teak, polstret sete trukket med bomullsstoff;"Polstring; Tapping; Skruing; Lakkering";;H 84,2 x B 44,5 x D 44,5 cm;84.2;44.5;44.5;;"Møbel; Design";"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Kjøpt 1993;;https://ms01.nasjonalmuseet.no/iiif/tif/07093.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615063734;https://www.nasjonalmuseet.no/samlingen/objekt/OK-1993-0173;;bilete/OK-1993-0173.jpg
141;NMK.2005.0581;dd09574c-527f-4f32-8906-849de1758904;Armstol;"Armstol; Seteprototype med sekundært understell";Ca. 1957 (glassfiberskall), ca. 2000 (fargelakkering/metallunderstell);1957;1958;2000-talet;Norge, Norge;Berg, Gerhard;"Metall; Polyester; Gummi; Glassfiber";Støpt glassfiber og metall;"Skruing; Støping; Sveising";;H 73 cm x B 65 cm x D 58 cm;73.0;65.0;58.0;;"Møbel; Design; Prototyp";"322.48 (Møbeldesign); 352.1 (Sittemøbler); 384 (Syntetvareindustri)";;Kjøpt 2005;;"https://ms01.nasjonalmuseet.no/iiif/tif/NMK.2005.0581_07.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/56908.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/NMK.2005.0581.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/NMK.2005.0581_02.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/NMK.2005.0581_03.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/NMK.2005.0581_04.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/NMK.2005.0581_05.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/NMK.2005.0581_06.tif/full/4000,/0/default.jpg";8;https://digitaltmuseum.org/0210614964126;https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2005.0581;;bilete/NMK.2005.0581.jpg
1;OK-2003-0113;c8201e64-1f74-483c-8aac-6a1889cea425;Krobo ;"Møblement; Tre benker";1963;1963;1965;2000-talet;Norge, Norge;Afdal, Torbjørn;"Palisander; Stål; Ull";;"Finering; Innfelling; Skruing; Lakkering; Profilering";;H 34 x L 120,5 x B 37,1 cm;34.0;37.1;;;"Møbel; Design; Industridesign";"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Kjøpt 2003;;https://ms01.nasjonalmuseet.no/iiif/tif/07291.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210615083708;https://www.nasjonalmuseet.no/samlingen/objekt/OK-2003-0113;;bilete/OK-2003-0113.jpg
152;NMK.2008.0014;003d8c3f-e78f-45b4-b305-52f7649cd566;Siesta;"Hvilestol; Lenestol med sete- og hodepute";2008 (design 1965);1965;1965;2000-talet;Norge, Sykkylven, Møre og Romsdal;Relling, Ingmar;"Lær; Kanvas; Bøk";Bøk, lær og kanvas;"Laminering; Polstring; Formbøying; Skruing; Binding; Lakkering; Beising";;H 79,5 x B 61,5 x D 82,5 cm;79.5;61.5;82.5;;"Møbel; Design";"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 2008;;"https://ms01.nasjonalmuseet.no/iiif/tif/111577.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/104381.tif/full/4000,/0/default.jpg";2;https://digitaltmuseum.org/0210614982243;https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2008.0014;;bilete/NMK.2008.0014.jpg
160;NMK.2016.0136;15350b94-5618-4328-aaf7-ce0a84a05f66;Ekstrem Maestro;"Stol; Prototyp til stol; Ekstrem Maestro";Mellom 1980 og 2013;1980;2013;2000-talet;Norge, Oslo (fylke), Oslo;Ekstrøm, Terje;"Stål; Kryssfiner";Formbøyd kryssfiner sammensatt med ståldeler;Formbøying;;H 101 x B 55 x D 50 cm;101.0;55.0;50.0;;"Prototyp; Industridesign; Møbel";"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 2016;;"https://ms01.nasjonalmuseet.no/iiif/tif/142186.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/142185.tif/full/4000,/0/default.jpg";2;https://digitaltmuseum.org/0210614983083;https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2016.0136;;bilete/NMK.2016.0136.jpg
154;NMK.2016.0137;a647768b-adde-489e-b971-ef88294db116;Ekstrem Maestro;"Gruppering; Laminatdeler til stol; Ekstrem Maestro";Mellom 1980 og 2013;1980;2013;2000-talet;Norge, Oslo (fylke), Oslo;Ekstrøm, Terje;Kryssfiner;Formbøyd kryssfinér;Formbøying;;Se underposter;;;;;"Industridesign; Møbel; Prototyp";"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 2016;;"https://ms01.nasjonalmuseet.no/iiif/tif/144324.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/144328.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/144325.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/144330.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/144326.tif/full/4000,/0/default.jpg; https://ms01.nasjonalmuseet.no/iiif/tif/144331.tif/full/4000,/0/default.jpg";6;https://digitaltmuseum.org/0210614983777;https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2016.0137;;bilete/NMK.2016.0137.jpg
157;NMK.2016.0137.001;f9eeaae7-91f9-41ba-8707-5a5b07df2819;Ekstrem Maestro;"Stol; Ekstrem Maestro; Laminatdel til stol";Mellom 1980 og 2013;1980;2013;2000-talet;Norge, Oslo (fylke), Oslo;Ekstrøm, Terje;Kryssfiner;Formbøyd kryssfinér ;Formbøying;;H 70 x B 20 x D 49 cm;70.0;20.0;49.0;;"Industridesign; Møbel; Prototyp";"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 2016;;https://ms01.nasjonalmuseet.no/iiif/tif/142492.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210614984227;https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2016.0137.001;;bilete/NMK.2016.0137.001.jpg
150;NMK.2016.0137.002;a5643b49-f169-41a5-9b32-aaae8887a18b;Ekstrem Maestro;"Stol; Ekstrem Maestro; Laminatdel til stol";Mellom 1980 og 2013;1980;2013;2000-talet;Norge, Oslo (fylke), Oslo;Ekstrøm, Terje;Kryssfiner;Formbøyd kryssfinér;Formbøying;;H 114 x B 12 x D 40 cm;114.0;12.0;40.0;;"Industridesign; Møbel; Prototyp";"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 2016;;https://ms01.nasjonalmuseet.no/iiif/tif/142490.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210614984037;https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2016.0137.002;;bilete/NMK.2016.0137.002.jpg
155;NMK.2016.0137.003;55eefdb7-5322-4082-b87b-b2c0afc8aed8;Ekstrem Maestro;"Stol; Laminatdel til stol; Ekstrem Maestro";Mellom 1980 og 2013;1980;2013;2000-talet;Norge, Oslo (fylke), Oslo;Ekstrøm, Terje;Kryssfiner;Formbøyd kryssfinér;Formbøying;;H 74 x B 23 x D 56 cm;74.0;23.0;56.0;;"Industridesign; Møbel; Prototyp";"322.48 (Møbeldesign); 352.1 (Sittemøbler)";;Gave 2016;;https://ms01.nasjonalmuseet.no/iiif/tif/144129.tif/full/4000,/0/default.jpg;1;https://digitaltmuseum.org/0210614984065;https://www.nasjonalmuseet.no/samlingen/objekt/NMK.2016.0137.003;;bilete/NMK.2016.0137.003.jpg
